record_date,machine_id,machine_name
2026-09-10,1632,Ｐ／Ｒｅ：ゼロ鬼がかりｖｅｒ／Ｌ０７
2026-09-10,1635,Ｐシン・エヴァンゲリオンＸ
2026-09-10,1700,ｅ無職転生~異世界行ったら本気だす
2026-09-10,1702,ｅ必殺仕事人ⅥＭ２
2026-09-10,1703,ｅ結城友奈は勇者であるＭＰ
2026-09-10,1704,ｅ東京リベンジャーズ聖夜決戦編ＥＲＥＣ
2026-09-10,1705,ｅとある魔術の禁書目録 最狂ＲＲＡ
2026-09-10,1706,ｅ魔法少女リリカルなのはＨＴＥＺ２
2026-09-10,1707,Ｐ織田信奈の野望全国版Ｖ４Ａ
2026-09-10,1710,ｅ甲鉄城のカバネリ２ＧＦＥＡ
2026-09-10,1711,ｅフィーバー炎炎ノ消防隊２ＭＳ
2026-09-10,1712,ｅ／押忍番長漢の頂／Ｌ０９
2026-09-10,1737,ｅソードアート・オンライン アリシゼーションＹＫＪ１１
2026-09-10,1738,ｅフィーバー機動戦士ガンダムＳＥＥＤ２ｂＦ
2026-09-10,1739,ｅエデンズゼロＡＩＮ
2026-09-10,1740,ｅ七つの大罪３ＧＦＥＡ
2026-09-10,1742,ｅアクセル・ワールドＬＭ２
2026-09-10,1743,ｅハイスクールオブザデッド３Ｖ１Ａ
2026-09-10,1744,ｅフィーバーブルーロックＭＺ
2026-09-10,1745,ｅ魔法少女まどか☆マギカ３ＬＰＭ１
2026-09-10,1746,ｅフィーバーもののがたりＦ
2026-09-10,1747,ｅ真・一騎当千~軍神覚醒~ＡＭ－ＴＳ
2026-09-10,1777,eｿﾞﾝ100MA
2026-09-10,1779,ｅ／押忍番長漢の頂／Ａ０３
2026-09-10,1780,ＰフィーバーブルーロックＹ
2026-09-10,1796,ＰＨはねものシャカＲＵＳＨ２
2026-09-10,1797,Ｐうしおととら~月と太陽~ＦＨ－ＲＳ
2026-09-10,1798,ＰＡ愛の不時着ＳＢ
2026-09-10,1799,ｅＡフィーバー炎炎ノ消防隊２Ｙ
2026-09-10,1800,ｅｔａｋｔ ｏｐ． ＤｅｓｔｉｎｙＨ６
2026-09-10,1801,ｅ魔女と野獣ＦＫＺ
2026-09-10,1802,ＰＡ大海物語アグネスプレミアＲＢＡ
2026-09-10,1804,ｅアサルトリリィＺ
2026-09-10,1813,ｅ虚構推理ＭＨＪＴ
